LGA,Region
ALPINE,Northeast
ARARAT,Western District
BALLARAT,Central Highlands and Goldfields
BANYULE,Metropolitan Melbourne
BASS COAST,Gippsland
BAW BAW,Gippsland
BAYSIDE,Metropolitan Melbourne
BENALLA,Northeast
BOROONDARA,Metropolitan Melbourne
BRIMBANK,Metropolitan Melbourne
BULOKE,The Mallee
CAMPASPE,Goulburn Valley
CARDINIA,Outer Metropolitan
CASEY,Outer Metropolitan
CENTRAL GOLDFIELDS,Central Highlands and Goldfields
COLAC-OTWAY,Southwest
CORANGAMITE,Western District
DAREBIN,Metropolitan Melbourne
EAST GIPPSLAND,Gippsland
FRANKSTON,Outer Metropolitan
GANNAWARRA,The Mallee
GLEN EIRA,Metropolitan Melbourne
GLENELG,Western District
GOLDEN PLAINS,Southwest
GREATER BENDIGO,Central Highlands and Goldfields
GREATER DANDENONG,Outer Metropolitan
GREATER GEELONG,Southwest
GREATER SHEPPARTON,Goulburn Valley
HEPBURN,Central Highlands and Goldfields
HINDMARSH,Wimmera
HOBSONS BAY,Metropolitan Melbourne
HORSHAM,Wimmera
HUME,Outer Metropolitan
INDIGO,Northeast
KINGSTON,Metropolitan Melbourne
KNOX,Outer Metropolitan
LATROBE,Gippsland
LODDON,Central Highlands and Goldfields
MACEDON RANGES,Central Highlands and Goldfields
MANNINGHAM,Metropolitan Melbourne
MANSFIELD,Northeast
MARIBYRNONG,Metropolitan Melbourne
MAROONDAH,Outer Metropolitan
MELBOURNE,Inner Melbourne
MELTON,Outer Metropolitan
MILDURA,The Mallee
MITCHELL,Central Highlands and Goldfields
MOIRA,Goulburn Valley
MONASH,Metropolitan Melbourne
MOONEE VALLEY,Metropolitan Melbourne
MOORABOOL,Central Highlands and Goldfields
MORELAND,Metropolitan Melbourne
MORNINGTON PENINSULA,Outer Metropolitan
MOUNT ALEXANDER,Central Highlands and Goldfields
MOYNE,Western District
MURRINDINDI,Northeast
NILLUMBIK,Outer Metropolitan
NORTHERN GRAMPIANS,Wimmera
PORT PHILLIP,Inner Melbourne
PYRENEES,Western District
QUEENSCLIFFE,Southwest
SOUTH GIPPSLAND,Gippsland
SOUTHERN GRAMPIANS,Western District
STONNINGTON,Inner Melbourne
STRATHBOGIE,Goulburn Valley
SURF COAST,Southwest
SWAN HILL,The Mallee
TOWONG,Northeast
WANGARATTA,Northeast
WARRNAMBOOL,Western District
WELLINGTON,Gippsland
WEST WIMMERA,Wimmera
WHITEHORSE,Metropolitan Melbourne
WHITTLESEA,Outer Metropolitan
WODONGA,Northeast
WYNDHAM,Outer Metropolitan
YARRA,Inner Melbourne
YARRA RANGES,Outer Metropolitan
YARRIAMBIACK,Wimmera
